Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MIR21","MicroRNA 21","RNA Gene","","25","GC17P094092","23.8677062988281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"MIRLET7C","MicroRNA Let-7c","RNA Gene","","23","GC21P016601","23.0870532989502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7C"
"SNORD15A","Small Nucleolar RNA, C/D Box 15A","RNA Gene","","17","GC11P075400","22.0998268127441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD15A"
"MIR146B","MicroRNA 146b","RNA Gene","","22","GC10P102436","20.7351989746094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146B"
"MIR133B","MicroRNA 133b","RNA Gene","","23","GC06P052148","19.9194316864014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR133B"
"MIR125A","MicroRNA 125a","RNA Gene","","22","GC19P096470","19.7518882751465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"MIR155","MicroRNA 155","RNA Gene","","22","GC21P025573","19.1384220123291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"MIR320A","MicroRNA 320a","RNA Gene","","22","GC08M022296","19.1180381774902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320A"
"MIR34C","MicroRNA 34c","RNA Gene","","22","GC11P112289","19.0906963348389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C"
"MIR451A","MicroRNA 451a","RNA Gene","","19","GC17M028861","18.5506534576416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR451A"
"MIR145","MicroRNA 145","RNA Gene","","24","GC05P149430","18.524621963501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"MIR146A","MicroRNA 146a","RNA Gene","","23","GC05P160485","18.1216373443604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"MIR98","MicroRNA 98","RNA Gene","","20","GC0XM053675","17.5229835510254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR98"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","Q9UPY3","52","GC14M095086","17.1458873748779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"MIR373","MicroRNA 373","RNA Gene","","20","GC19P096580","16.722635269165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR373"
"DROSHA","Drosha Ribonuclease III","Protein Coding","Q9NRR4","47","GC05M031401","16.7132797241211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DROSHA"
"MIR17","MicroRNA 17","RNA Gene","","20","GC13P091350","16.5199012756348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"MIR494","MicroRNA 494","RNA Gene","","18","GC14P114469","16.3055858612061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR494"
"MIR221","MicroRNA 221","RNA Gene","","21","GC0XM045746","16.2502365112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"MIR29A","MicroRNA 29a","RNA Gene","","22","GC07M130876","16.1868171691895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29A"
"MIR16-1","MicroRNA 16-1","RNA Gene","","21","GC13M050048","16.0883560180664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR16-1"
"MIR34A","MicroRNA 34a","RNA Gene","","23","GC01M011962","16.0530033111572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"MIR215","MicroRNA 215","RNA Gene","","20","GC01M220117","15.8949880599976","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR215"
"MIR20A","MicroRNA 20a","RNA Gene","","21","GC13P091648","15.793604850769","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20A"
"MIR18A","MicroRNA 18a","RNA Gene","","20","GC13P091650","15.3323516845703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR18A"
"MIRLET7B","MicroRNA Let-7b","RNA Gene","","21","GC22P061149","15.2353992462158","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7B"
