Type	Symbol	Name	ID	URL	Locus type	status
gene	MIR1-1	microRNA 1-1	HGNC:31499	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31499	RNA, micro	Approved
gene	MIR1-2	microRNA 1-2	HGNC:31500	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31500	RNA, micro	Approved
gene	MIR7-1	microRNA 7-1	HGNC:31638	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31638	RNA, micro	Approved
gene	MIR7-2	microRNA 7-2	HGNC:31639	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31639	RNA, micro	Approved
gene	MIR7-3	microRNA 7-3	HGNC:31640	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31640	RNA, micro	Approved
gene	MIR9-1	microRNA 9-1	HGNC:31641	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31641	RNA, micro	Approved
gene	MIR9-2	microRNA 9-2	HGNC:31642	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31642	RNA, micro	Approved
gene	MIR9-3	microRNA 9-3	HGNC:31646	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31646	RNA, micro	Approved
gene	MIR10A	microRNA 10a	HGNC:31497	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31497	RNA, micro	Approved
gene	MIR10B	microRNA 10b	HGNC:31498	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31498	RNA, micro	Approved
gene	MIR15A	microRNA 15a	HGNC:31543	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31543	RNA, micro	Approved
gene	MIR15B	microRNA 15b	HGNC:31544	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31544	RNA, micro	Approved
gene	MIR16-1	microRNA 16-1	HGNC:31545	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31545	RNA, micro	Approved
gene	MIR16-2	microRNA 16-2	HGNC:31546	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31546	RNA, micro	Approved
gene	MIR17	microRNA 17	HGNC:31547	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31547	RNA, micro	Approved
gene	MIR18A	microRNA 18a	HGNC:31548	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31548	RNA, micro	Approved
gene	MIR18B	microRNA 18b	HGNC:32025	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32025	RNA, micro	Approved
gene	MIR19A	microRNA 19a	HGNC:31574	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31574	RNA, micro	Approved
gene	MIR19B1	microRNA 19b-1	HGNC:31575	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31575	RNA, micro	Approved
gene	MIR19B2	microRNA 19b-2	HGNC:31576	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31576	RNA, micro	Approved
gene	MIR20A	microRNA 20a	HGNC:31577	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31577	RNA, micro	Approved
gene	MIR20B	microRNA 20b	HGNC:32024	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:32024	RNA, micro	Approved
gene	MIR21	microRNA 21	HGNC:31586	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31586	RNA, micro	Approved
gene	MIR22	microRNA 22	HGNC:31599	https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:31599	RNA, micro	Approved
