Name	        Accession	RPM	Chrmsm	Start	          End	      Strand Confidence
hsa-let-7a-1	MI0000060	46519	chr9	94175957	94176036	+	High
hsa-let-7a-2	MI0000061	46265	chr11	122146522	122146593	-	High
hsa-let-7a-3	MI0000062	46706	chr22	46112749	46112822	+	High
hsa-let-7b	MI0000063	27396	chr22	46113686	46113768	+	High
hsa-let-7c	MI0000064	15711	chr21	16539828	16539911	+	High
hsa-let-7d	MI0000065	4366	chr9	94178834	94178920	+	High
hsa-let-7e	MI0000066	5118	chr19	51692786	51692864	+	High
hsa-let-7f-1	MI0000067	65280	chr9	94176347	94176433	+	High
hsa-let-7f-2	MI0000068	65395	chrX	53557192	53557274	-	High
hsa-mir-15a	MI0000069	3371	chr13	50049119	50049201	-	High
hsa-mir-16-1	MI0000070	10398	chr13	50048973	50049061	-	High
hsa-mir-17	MI0000071	12840	chr13	91350605	91350688	+	High
hsa-mir-18a	MI0000072	8032	chr13	91350751	91350821	+	High
hsa-mir-19a	MI0000073	9302	chr13	91350891	91350972	+	High
hsa-mir-19b-1	MI0000074	12712	chr13	91351192	91351278	+	High
hsa-mir-19b-2	MI0000075	12558	chrX	134169671	134169766	-	High
hsa-mir-20a	MI0000076	6826	chr13	91351065	91351135	+	High
hsa-mir-21	MI0000077	28570	chr17	59841266	59841337	+	High
hsa-mir-22	MI0000078	2726	chr17	1713903	         1713987	-	High
hsa-mir-23a	MI0000079	5463	chr19	13836587	13836659	-	High
hsa-mir-24-1	MI0000080	2988	chr9	95086021	95086088	+	High
hsa-mir-24-2	MI0000081	3119	chr19	13836287	13836359	-	High
hsa-mir-25	MI0000082	3994	chr7	100093560	100093643	-	High
hsa-mir-26a-1	MI0000083	11638	chr3	37969404	37969480	+	High
hsa-mir-26b	MI0000084	3586	chr2	218402646	218402722	+	High
hsa-mir-27a	MI0000085	3484	chr19	13836440	13836517	-	High
hsa-mir-28	MI0000086	1128	chr3	188688781	188688866	+	High
hsa-mir-29a	MI0000087	9609	chr7	130876747	130876810	-	High
hsa-mir-30a	MI0000088	5468	chr6	71403551	71403621	-	High
hsa-mir-31	MI0000089	2296	chr9	21512115	21512185	-	High
hsa-mir-32	MI0000090	639	chr9	109046229	109046298	-	High
hsa-mir-33a	MI0000091	793	chr22	41900944	41901012	+	High
hsa-mir-92a-1	MI0000093	7474	chr13	91351314	91351391	+	High
hsa-mir-92a-2	MI0000094	7101	chrX	134169538	134169612	-	High
hsa-mir-93	MI0000095	1906	chr7	100093768	100093847	-	High
hsa-mir-95	MI0000097	406	chr4	8005301	         8005381	-	-
hsa-mir-96	MI0000098	613	chr7	129774692	129774769	-	High
